# Fill the `episode` column. Leave it empty when a reel had no script.
# Then: npm run import:scripts
slug	date	caption	episode	confidence
2026-06-28-partie-3-les-tests	2026-06-28	🎬 Partie 3 — Les tests	019-skill-ui-ux-pro-max	0.69
2026-06-27-partie-2-installation	2026-06-27	🎬 Partie 2 — Installation	013-fable5-demo	0.58
2026-06-26-partie-1-presentation	2026-06-26	🎬 Partie 1 — Présentation	019-skill-ui-ux-pro-max	0.65
2026-06-25-leur-pub-disait-40-leur-propre-code-disait-0	2026-06-25	Leur pub disait 40 %. Leur propre code disait 0.	020-cardmatik-danger-technique	1.00
2026-06-24-nouveau-concept-un-jour-un-skill	2026-06-24	🚨 Nouveau concept : « Un jour, un skill. »	026-skill-caveman	0.55
2026-06-23-la-verite-sur-claude-design-qu-on-te-vend-pas	2026-06-23	🎨 La vérité sur Claude Design qu’on te vend pas.		? 015-followers-cinematique (0.39)
2026-06-22-tu-n-as-pas-besoin-d-un-serveur-ni-de-50-mac-mini-pour-autom	2026-06-22	🚫 Tu n’as pas besoin d’un serveur (ni de 50 Mac Mini) pour 	016-automatisation-sans-vps	0.70
2026-06-20-higgsfield-fable-et-opus-partie-2	2026-06-20	🔌 Higgsfield, Fable et Opus, partie 2 	013-fable5-demo	0.58
2026-06-19-c-est-quoi-un-mcp-je-te-montre-en-vrai	2026-06-19	🔌 C’est quoi un MCP ? Je te montre en vrai.	015-followers-cinematique	1.00
2026-06-18-fable-5-vs-opus-cette-fois-on-regarde-le-code	2026-06-18	🔬 Fable 5 vs Opus : cette fois, on regarde le code.	013-fable5-demo	1.00
2026-06-17-fable-5-vs-opus-on-voit-vraiment-la-difference	2026-06-17	🆚 Fable 5 vs Opus : on voit vraiment la différence ?	013-fable5-demo	1.00
2026-06-16-fable-5-tient-il-vraiment-ses-promesses	2026-06-16	🤖 Fable 5 tient-il vraiment ses promesses ?	013-fable5-demo	1.00
2026-06-15-le-modele-d-ia-le-plus-puissant-de-claude-retire-par-l-etat	2026-06-15	😳 Le modèle d’IA le plus puissant de Claude, retiré par l’É		? 025-fable5-retour-sonnet5 (0.41)
2026-06-13-le-modele-le-plus-puissant-d-anthropic-vient-d-etre-suspendu	2026-06-13	😳 Le modèle le plus puissant d’Anthropic vient d’être suspe		? 014-fable5-annonce (0.51)
2026-06-13-et-si-tu-avais-une-equipe-d-ia-pas-une-seule	2026-06-13	🤯 Et si tu avais une équipe d’IA, pas une seule ?	012-avance	1.00
2026-06-12-le-createur-de-claude-code-repete-ce-conseil-depuis-5-mois	2026-06-12	🧠 Le créateur de Claude Code répète ce conseil depuis 5 moi	011-tips-boris	1.00
2026-06-11-arrete-de-faire-relire-ton-code-par-l-ia-qui-l-a-ecrit	2026-06-11	🤝 Arrête de faire relire ton code par l’IA qui l’a écrit.	010-cross-model	1.00
2026-06-10-arrete-de-coder-au-feeling-avec-l-ia	2026-06-10	⚙️ Arrête de coder au feeling avec l’IA.	009-workflow-pro	1.00
2026-06-09-et-si-claude-t-appelait-a-voix-haute-quand-il-a-fini	2026-06-09	🔔 Et si Claude t’appelait à voix haute quand il a fini ?	008-hooks-settings	1.00
2026-06-08-par-defaut-claude-oublie-tout-entre-deux-sessions	2026-06-08	🧠 Par défaut, Claude oublie tout entre deux sessions.	007-la-memoire	1.00
2026-06-04-diriger-une-ia-ca-tient-en-3-briques	2026-06-04	🧱 Diriger une IA, ça tient en 3 briques.	006-trois-briques	1.00
2026-06-03-l-ia-ne-mettra-jamais-tous-les-devs-au-chomage	2026-06-03	🧠 L’IA ne mettra jamais tous les devs au chômage.	005-ia-pas-un-script	1.00
2026-05-29-le-skill-parfait-pour-des-sites-uniques	2026-05-29	Le skill parfait pour des sites uniques !	027-skill-hyperframe	0.75
2026-05-27-le-vibecoding-democratise-le-code-et-c-est-une-bonne-chose-m	2026-05-27	Le vibecoding démocratise le code, et c’est une bonne chose.		? 020-cardmatik-danger-technique (0.36)
2026-05-26-le-pape-qui-s-attaque-a-l-intelligence-artificielle-on-ne-s-	2026-05-26	Le pape qui s’attaque à l’intelligence artificielle… on ne s		? 005-ia-pas-un-script (0.18)
2026-05-12-partie-3-je-developpe-l-agentic-os-de-mikecodeur	2026-05-12	PARTIE 3 : Je développe l’Agentic OS de @MikeCodeur 🤖		? 031-system-prompts-leak (0.49)
2026-05-11-je-developpe-l-agentic-os-de-mikecodeur	2026-05-11	Je développe l’Agentic OS de @mikecodeur 🤖		? 031-system-prompts-leak (0.48)
2026-05-11-je-developpe-l-agentic-os-de-mikecodeur-172569	2026-05-11	Je développe l’Agentic OS de @MikeCodeur 🤖		? 031-system-prompts-leak (0.48)
2026-05-08-partie-3-coder-un-site-depuis-ses-toilettes-juste-avec-un-te	2026-05-08	PARTIE 3️⃣ : Coder un site depuis ses toilettes juste avec u	015-followers-cinematique	0.60
2026-05-07-partie-2-coder-un-site-depuis-ses-toilettes-juste-avec-un-te	2026-05-07	PARTIE 2️⃣ : Coder un site depuis ses toilettes juste avec u		? 028-markitdown (0.52)
2026-05-07-coder-un-site-depuis-ses-toilettes-juste-avec-un-telephone	2026-05-07	Coder un site depuis ses toilettes juste avec un téléphone �	028-markitdown	0.55
2026-05-06-comment-installer-openclaw-sans-aucune-connaissance-techniqu	2026-05-06	🚀 Comment installer OpenClaw sans aucune connaissance techn		? 016-automatisation-sans-vps (0.33)
2025-02-20-tu-veux-apprendre-a-coder-avec-next-js-react-js	2025-02-20	🖥️ Tu veux apprendre à coder avec Next.js (React.js) ? 🚀		? 013-fable5-demo (0.28)
2025-02-20-tu-veux-apprendre-a-coder-avec-next-js-react-js-748348	2025-02-20	🖥️ Tu veux apprendre à coder avec Next.js (React.js) ? 🚀		? 013-fable5-demo (0.28)
2025-02-20-tu-veux-apprendre-a-coder-avec-next-js-react-js-559337	2025-02-20	🖥️ Tu veux apprendre à coder avec Next.js (React.js) ? 🚀		? 013-fable5-demo (0.28)
2025-02-20-tu-veux-apprendre-a-coder-avec-next-js-react-js-633999	2025-02-20	🖥️ Tu veux apprendre à coder avec Next.js (React.js) ? 🚀		? 013-fable5-demo (0.28)
2025-02-20-tu-veux-apprendre-a-coder-avec-next-js-react-js-330569	2025-02-20	🖥️ Tu veux apprendre à coder avec Next.js (React.js) ? 🚀		? 013-fable5-demo (0.28)
2025-02-20-code-dispo-sur-github	2025-02-20	📌 Code dispo sur GitHub 💻 		? 005-ia-pas-un-script (0.26)
